	name	rating(out of 5)	rating_count	delivery_fee	min_order	delivery_option	food
123	Sweet Tooth			Free delivery	No minimum	foodpanda delivery	['Chicken', 'Fast Food', 'Fried Chicken', 'Snacks-Street Food', 'Sweets', 'Waffle', 'Ice Cream Shakes', 'Beverage', 'Burgers', 'Desserts', 'Fast Food', 'Sandwiches', 'Cakes & Bakery']
124	Burns Road House	5.0	1.0	Free delivery	No minimum	foodpanda delivery	['Pakistani']
125	bar B Q tonight	4.3	474.0	Free delivery	No minimum	Restaurant Own delivery	['Pakistani']
126	Fa La La			Free delivery	No minimum	foodpanda delivery	['Chicken', 'Pasta', 'Coffee', 'Beverage', 'Burgers', 'Desserts', 'Sandwiches', 'Fast Food']
127	Rina	4.4	584.0	Free delivery	No minimum	foodpanda delivery	['Desserts', 'European']
128	The Coffee Bean & Tea Leaf - Packages Mall	4.1	18.0	Free delivery	No minimum	foodpanda delivery	['BBQ', 'Chicken', 'Crepes', 'Pasta', 'Salad', 'Wraps', 'Roll Paratha', 'Italian', 'Sandwiches', 'Fast Food']
129	Alaska Desserts & Pastry	3.6	36.0	Free delivery	No minimum	foodpanda delivery	['Cakes & Bakery', 'Pizza', 'Sandwiches', 'Desserts']
130	Urban Kitchen	3.9	42.0	Free delivery	No minimum	foodpanda delivery	['Chicken', 'Meat', 'Soup', 'Ice Cream Shakes', 'Tea', 'Coffee', 'Beverage', 'Desserts', 'Seafood', 'Pizza']
131	Scafe Express			Free delivery	No minimum	foodpanda delivery	['Pasta', 'Soup', 'American', 'Beverage', 'Pizza']
132	2000 Bites	1.5	8.0	Free delivery	No minimum	foodpanda delivery	['Burgers', 'Pizza']
133	Jade Cafes	3.9	107.0	Free delivery	No minimum	foodpanda delivery	['Burgers', 'Italian', 'Pizza']
134	Nadeem Tikka	4.0	855.0	Free delivery	No minimum	foodpanda delivery	['Tandoor', 'Pakistani']
135	Cosa Nostra - Gulberg	3.7	7.0	Free delivery	No minimum	foodpanda delivery	['Fast Food', 'Italian']
